county_fips,county_name,year,child_pop,child_poverty_rate,pct_black,pct_native_american,pct_hispanic,housing_burden_rate
06047,Merced,2013,80203,24.52,3.79,7.79,56.72,50.85
06043,Mariposa,2013,3124,16.61,0.88,1.09,9.59,42.77
06115,Yuba,2013,20862,20.14,3.07,7.35,26.23,54.75
06013,Contra Costa,2013,260120,9.26,9.19,14.85,24.76,52.73
06035,Lassen,2013,5414,14.85,12.2,2.05,25.98,45.52
06099,Stanislaus,2013,146284,18.91,2.86,5.34,43.0,55.07
06097,Sonoma,2013,105145,10.07,1.59,4.08,25.57,53.53
06103,Tehama,2013,15804,19.94,0.71,1.19,22.79,47.91
06051,Mono,2013,2988,6.89,0.42,0.78,27.05,38.2
06069,San Benito,2013,15826,10.65,1.31,2.06,57.18,54.0
06067,Sacramento,2013,361727,16.78,10.25,14.87,22.17,54.87
06017,El Dorado,2013,40128,6.81,0.95,3.58,12.26,50.29
06053,Monterey,2013,111948,17.47,3.09,6.48,58.53,54.38
06091,Sierra,2013,515,7.18,0.58,0.06,9.09,43.53
06083,Santa Barbara,2013,97839,13.81,2.07,5.23,45.08,54.66
06025,Imperial,2013,50858,21.85,3.29,1.58,86.11,51.0
06001,Alameda,2013,341314,10.44,12.3,27.28,22.94,49.94
06055,Napa,2013,31324,9.29,2.19,7.3,33.49,51.48
06075,San Francisco,2013,109537,8.07,5.96,33.87,15.43,43.81
06011,Colusa,2013,6236,14.82,0.91,1.16,56.63,42.06
06031,Kings,2013,42150,21.67,7.68,4.2,58.58,46.17
06019,Fresno,2013,277524,25.7,5.18,9.79,51.7,54.54
06059,Orange,2013,732841,10.96,1.65,18.56,34.26,54.82
06101,Sutter,2013,25728,16.64,1.85,14.43,29.43,51.59
06077,San Joaquin,2013,199991,16.61,7.36,14.66,40.18,54.89
06033,Lake,2013,13341,22.91,2.46,1.26,17.87,63.7
06049,Modoc,2013,2069,15.18,1.37,0.36,14.85,49.44
06027,Inyo,2013,3881,12.6,0.99,1.54,20.44,44.02
06033,Lake,2014,13209,20.77,2.36,1.21,18.33,61.97
06049,Modoc,2014,1981,15.55,1.2,0.58,14.91,50.7
06027,Inyo,2014,3879,12.35,1.13,1.4,20.83,44.76
06083,Santa Barbara,2014,98110,14.43,2.05,5.25,45.57,54.62
06025,Imperial,2014,50993,22.39,3.13,1.58,86.59,51.92
06001,Alameda,2014,342075,10.58,12.07,27.69,23.02,50.25
06055,Napa,2014,31079,9.22,2.21,7.64,33.88,52.27
06075,San Francisco,2014,111188,7.42,5.84,34.12,15.51,43.18
06011,Colusa,2014,6169,14.75,0.93,1.34,57.38,44.1
06031,Kings,2014,41869,23.12,7.4,4.16,59.31,47.09
06019,Fresno,2014,277827,27.42,5.18,9.88,52.14,55.05
06059,Orange,2014,729650,11.46,1.66,18.81,34.46,55.48
06101,Sutter,2014,25534,16.73,2.05,14.8,29.74,49.97
06077,San Joaquin,2014,199585,18.05,7.34,14.92,40.56,54.55
06047,Merced,2014,80126,24.77,3.56,7.74,57.47,50.96
06043,Mariposa,2014,3095,15.38,0.87,1.3,9.72,40.45
06115,Yuba,2014,20780,20.21,3.31,7.17,26.71,53.02
06013,Contra Costa,2014,260195,9.1,9.05,15.06,24.99,52.93
06035,Lassen,2014,5012,15.92,12.87,2.26,26.77,45.51
06099,Stanislaus,2014,145775,18.99,2.8,5.34,43.55,54.84
06097,Sonoma,2014,104532,10.13,1.54,4.08,25.91,54.55
06103,Tehama,2014,15579,18.22,0.51,1.29,23.34,47.48
06051,Mono,2014,2875,5.01,0.45,0.82,27.29,32.6
06069,San Benito,2014,15788,11.3,1.01,2.13,57.75,54.06
06091,Sierra,2014,501,7.58,0.13,0.1,9.46,57.19
06067,Sacramento,2014,361130,17.29,10.25,15.06,22.42,54.12
06017,El Dorado,2014,39455,8.38,0.99,3.82,12.45,49.38
06053,Monterey,2014,112718,18.16,2.91,6.52,59.07,55.41
06073,San Diego,2014,726898,12.28,5.17,11.54,33.51,54.42
06107,Tulare,2014,144268,25.14,1.77,3.37,62.69,51.45
06113,Yolo,2014,45257,12.76,2.71,13.73,32.23,57.49
06023,Humboldt,2014,26524,16.26,1.34,2.33,10.62,55.95
06057,Nevada,2014,18115,12.83,0.37,1.51,8.95,56.51
06003,Alpine,2014,235,6.81,0.93,1.01,7.26,49.28
06039,Madera,2014,42835,23.18,3.74,2.32,58.43,47.69
06037,Los Angeles,2014,2347600,17.18,8.48,14.2,48.89,56.97
06045,Mendocino,2014,19216,19.13,0.82,1.82,23.61,54.29
06087,Santa Cruz,2014,54991,11.36,0.96,4.54,33.99,59.39
06105,Trinity,2014,2384,12.75,0.83,1.19,7.21,48.43
06065,Riverside,2014,616767,15.5,6.33,6.21,47.26,57.95
06071,San Bernardino,2014,584394,17.38,8.88,6.73,51.75,57.04
06085,Santa Clara,2014,434411,7.69,2.68,33.67,27.15,46.25
06041,Marin,2014,52816,7.27,2.77,5.84,16.19,53.5
06061,Placer,2014,85402,7.44,1.3,6.5,13.33,51.55
06093,Siskiyou,2014,9062,23.87,1.31,1.43,11.26,54.91
06089,Shasta,2014,39105,16.75,1.0,2.54,9.05,57.36
06095,Solano,2014,99575,13.26,14.57,15.48,25.67,53.48
06015,Del Norte,2014,5984,21.76,4.13,2.47,21.46,49.55
06021,Glenn,2014,7655,16.37,0.9,2.38,39.49,40.56
06007,Butte,2014,45530,17.34,1.5,4.33,15.22,57.33
06063,Plumas,2014,3342,14.03,0.71,1.05,8.43,47.14
06079,San Luis Obispo,2014,50725,10.36,2.24,3.95,22.8,53.97
06029,Kern,2014,255295,22.99,5.87,4.59,52.41,51.77
06111,Ventura,2014,208063,11.27,1.82,7.09,41.79,55.89
06009,Calaveras,2014,8398,8.32,0.66,1.19,11.08,44.25
06081,San Mateo,2014,161600,6.36,2.66,26.26,25.58,48.39
06109,Tuolumne,2014,9153,12.39,2.01,1.52,11.93,53.53
06005,Amador,2014,5979,16.57,2.47,1.52,14.34,56.82
06047,Merced,2015,79992,25.27,3.5,7.72,58.23,51.33
06043,Mariposa,2015,2983,11.97,1.09,1.31,10.24,38.47
06115,Yuba,2015,20652,20.0,3.4,7.3,27.13,53.9
06013,Contra Costa,2015,260467,9.05,8.96,15.39,25.16,52.3
06035,Lassen,2015,4916,16.6,12.8,2.26,27.47,46.88
06099,Stanislaus,2015,145559,18.98,2.75,5.48,44.12,54.37
06097,Sonoma,2015,103689,9.87,1.58,3.94,26.15,53.86
06103,Tehama,2015,15281,20.48,0.52,1.3,23.78,49.99
06051,Mono,2015,2822,5.0,0.56,1.1,27.51,26.62
06069,San Benito,2015,15773,10.6,0.78,2.68,58.22,50.36
06067,Sacramento,2015,360744,17.2,10.1,15.26,22.62,52.93
06017,El Dorado,2015,38825,8.39,0.99,3.99,12.59,47.17
06053,Monterey,2015,113389,17.68,2.92,6.38,59.66,54.51
06091,Sierra,2015,463,13.39,0.1,0.03,8.96,60.89
06073,San Diego,2015,727474,12.28,5.19,11.74,33.76,54.08
06107,Tulare,2015,144013,25.86,1.75,3.45,63.32,52.04
06113,Yolo,2015,45366,12.8,2.71,14.21,32.37,56.19
06023,Humboldt,2015,26444,15.92,1.3,2.71,10.85,55.62
06057,Nevada,2015,17810,11.59,0.49,1.45,9.11,54.77
06003,Alpine,2015,251,4.38,0.99,1.26,9.69,47.37
06039,Madera,2015,42771,23.45,3.68,2.25,59.08,48.66
06045,Mendocino,2015,19093,18.2,0.68,1.97,24.06,53.77
06087,Santa Cruz,2015,54688,11.22,0.98,4.58,34.25,59.29
06105,Trinity,2015,2318,13.5,1.15,1.53,7.27,50.82
06037,Los Angeles,2015,2322174,17.08,8.4,14.35,48.98,56.86
06065,Riverside,2015,614733,15.4,6.36,6.28,47.72,56.99
06071,San Bernardino,2015,579758,18.0,8.77,6.85,52.42,56.82
06085,Santa Clara,2015,435435,7.1,2.63,34.28,27.01,46.18
06041,Marin,2015,53142,6.83,2.62,5.84,16.25,51.51
06061,Placer,2015,85308,6.96,1.43,6.74,13.54,51.55
06093,Siskiyou,2015,8922,24.59,1.43,1.59,11.6,53.69
06089,Shasta,2015,38961,16.19,1.01,2.69,9.29,55.94
06095,Solano,2015,99163,13.33,14.28,15.46,25.95,54.23
06015,Del Norte,2015,5897,20.96,3.36,2.51,22.18,47.63
06021,Glenn,2015,7590,18.27,0.98,2.52,40.24,45.3
06007,Butte,2015,45422,16.86,1.47,4.41,15.54,57.59
06063,Plumas,2015,3227,11.4,0.67,0.96,8.48,47.38
06079,San Luis Obispo,2015,50846,10.5,2.18,3.88,23.06,53.85
06029,Kern,2015,255909,23.47,5.88,4.74,52.92,51.06
06111,Ventura,2015,206217,11.37,1.82,7.17,42.15,56.36
06009,Calaveras,2015,8190,9.27,0.59,0.91,11.23,47.58
06081,San Mateo,2015,162030,6.63,2.62,26.77,25.49,48.97
06109,Tuolumne,2015,9089,11.13,1.96,1.47,12.15,54.44
06005,Amador,2015,5737,17.45,2.6,1.64,14.56,55.76
06033,Lake,2015,13120,21.04,2.28,1.31,18.81,59.57
06049,Modoc,2015,1884,12.79,0.53,1.12,15.09,52.86
06027,Inyo,2015,3827,10.03,1.1,1.37,21.27,41.62
06083,Santa Barbara,2015,98487,14.54,2.09,5.39,46.02,54.83
06025,Imperial,2015,51022,22.04,3.09,1.65,87.19,53.74
06001,Alameda,2015,343309,10.2,11.87,28.2,23.0,50.0
06055,Napa,2015,31100,8.75,2.15,7.91,34.15,51.94
06075,San Francisco,2015,112704,7.67,5.66,34.39,15.55,41.71
06011,Colusa,2015,6051,16.06,0.71,1.98,57.96,39.96
06031,Kings,2015,41626,21.96,7.1,4.24,60.07,47.71
06019,Fresno,2015,277818,27.04,5.16,9.95,52.59,55.03
06059,Orange,2015,725250,11.61,1.68,19.18,34.58,55.21
06101,Sutter,2015,25300,17.78,2.18,14.92,30.03,53.43
06077,San Joaquin,2015,199312,17.17,7.24,15.08,40.91,54.21
06073,San Diego,2016,727664,12.02,5.17,11.86,33.93,54.06
06107,Tulare,2016,143945,26.12,1.61,3.56,63.84,51.65
06113,Yolo,2016,45453,12.14,2.56,14.43,32.47,53.22
06023,Humboldt,2016,26399,14.48,1.22,2.84,11.02,56.58
06057,Nevada,2016,17548,10.55,0.51,1.31,9.23,51.23
06003,Alpine,2016,274,9.85,0.85,0.77,7.86,38.1
06039,Madera,2016,42662,22.76,3.51,2.1,59.39,52.02
06045,Mendocino,2016,19043,17.69,0.66,1.79,24.37,54.37
06087,Santa Cruz,2016,54522,11.34,0.91,4.68,34.46,57.58
06105,Trinity,2016,2277,16.47,1.11,1.58,7.34,60.38
06037,Los Angeles,2016,2296785,16.83,8.39,14.45,49.08,56.49
06065,Riverside,2016,613547,15.21,6.34,6.25,48.18,56.42
06071,San Bernardino,2016,576482,17.98,8.81,6.94,53.11,56.33
06085,Santa Clara,2016,435218,6.86,2.59,34.91,26.75,46.23
06041,Marin,2016,53207,6.82,2.4,5.81,16.18,49.8
06061,Placer,2016,85141,6.52,1.49,6.77,13.59,49.76
06093,Siskiyou,2016,8841,23.95,1.64,1.61,11.79,52.93
06089,Shasta,2016,38822,17.12,1.0,2.99,9.47,55.43
06095,Solano,2016,98840,12.4,14.5,15.63,26.1,54.11
06015,Del Norte,2016,5855,20.17,2.67,2.8,22.18,43.25
06021,Glenn,2016,7572,18.7,0.71,2.49,40.87,42.41
06007,Butte,2016,45472,15.41,1.54,4.42,15.8,58.36
06063,Plumas,2016,3108,8.62,0.14,0.93,8.59,45.66
06079,San Luis Obispo,2016,50812,9.65,2.1,3.95,23.25,51.78
06029,Kern,2016,256757,22.83,5.75,4.77,53.57,51.01
06111,Ventura,2016,204168,10.56,1.79,7.18,42.47,56.12
06009,Calaveras,2016,8042,11.81,0.58,1.01,11.36,50.15
06081,San Mateo,2016,162440,6.46,2.48,27.24,25.28,48.18
06109,Tuolumne,2016,8983,11.48,2.03,1.4,12.36,53.71
06005,Amador,2016,5745,13.89,2.72,1.66,14.63,55.22
06033,Lake,2016,13028,21.53,2.21,1.38,19.1,59.29
06049,Modoc,2016,1812,9.6,0.94,1.48,15.24,38.71
06027,Inyo,2016,3772,10.13,1.02,1.26,21.84,41.93
06083,Santa Barbara,2016,98870,13.59,2.11,5.55,46.35,55.43
06025,Imperial,2016,51341,22.27,2.89,1.52,87.88,51.81
06001,Alameda,2016,344212,9.69,11.54,28.69,22.95,49.63
06055,Napa,2016,30852,6.61,2.15,7.97,34.39,49.63
06075,San Francisco,2016,114628,7.18,5.45,34.41,15.53,40.65
06011,Colusa,2016,5936,13.21,1.05,1.64,58.4,39.59
06031,Kings,2016,41331,20.36,7.23,4.29,60.18,47.39
06019,Fresno,2016,278246,27.61,5.12,10.09,52.93,55.46
06059,Orange,2016,721172,11.09,1.66,19.45,34.59,55.18
06101,Sutter,2016,25180,17.13,1.97,15.22,30.19,50.64
06077,San Joaquin,2016,199521,15.94,7.11,15.19,41.25,53.41
06047,Merced,2016,79805,23.79,3.44,7.67,58.94,49.27
06043,Mariposa,2016,2918,10.76,1.29,1.28,10.25,43.44
06115,Yuba,2016,20606,19.35,3.11,7.06,27.42,56.17
06013,Contra Costa,2016,260665,8.54,8.84,15.65,25.29,51.26
06035,Lassen,2016,5262,16.57,12.95,2.43,26.76,45.14
06099,Stanislaus,2016,145560,16.77,2.76,5.48,44.79,53.75
06097,Sonoma,2016,102675,9.23,1.6,3.96,26.4,53.38
